Behavior,R²,Intercept,Coef_Habitat,Coef_Herd Size,t_Habitat,p_Habitat,t_Herd Size,p_Herd Size,Significant_Habitat,Significant_Herd Size
Walk,0.4021908743038244,0.0520886585602415,0.0868206841545548,0.30659902101445474,1.9706703969417925,0.05226449213724993,6.409017910374164,9.834056458046803e-09,,✓
Head Up,0.2499857888029131,0.15844223215121916,-0.008423336778810252,0.3212651156321977,-0.14331906781051398,0.8864031349131198,5.03400117873028,2.9577242806055892e-06,,✓
Graze,0.5620781112925746,0.7149637618146295,-0.07572758434572313,-0.6408069624136289,-1.216362330438136,0.22746874156106944,-9.479076165192136,1.1324274851176597e-14,,✓
Other,0.0015963290443566924,0.07450534743396077,-0.002669763050115172,0.012942825822651103,-0.07960376944658949,0.9367537011788452,0.35540207112693883,0.7232355776837678,,
